Year,January,February,March,April,May,June,July,August,September,October,November,December
1948,2.474,2.212,1.373,1.044,1.81,4.737,7.399,8.785,8.806,5.765,4.054,3.456
1949,2.405,1.667,1.15,0.585,1.377,4.302,7.006,8.853,8.207,6.337,4.727,3.794
1950,2.125,-2.267,-1.348,-0.17,0.753,3.565,6.726,8.671,8.325,6.082,4.235,2.82
1951,0.502,-0.65,-3.628,-0.904,1.488,4.347,7.698,9.494,9.118,7.04,5.023,3.508
1952,1.457,-1.856,-2.423,-1.661,1.11,4.078,6.919,8.898,8.479,6.846,4.712,2.96
1953,0.702,-3.405,-5.552,-0.386,2.51,5.398,8.169,9.446,8.768,6.7,4.925,3.652
1954,0.386,-7.671,-1.432,1.139,2.862,5.284,7.622,9.159,8.529,6.602,4.83,3.588
1955,1.551,-2.162,-1.049,0.397,2.533,4.57,6.984,8.801,8.22,6.153,4.369,2.428
1956,-1.11,-3.696,-5.206,-2.298,2.406,4.804,7.282,9.043,8.161,6.124,3.605,-3.319
1957,0.653,-0.735,-2.813,1.633,3.396,5.969,8.622,9.781,9.05,7.372,5.481,4.065
1958,0.735,-2.373,0.9,2.568,3.522,5.9,8.088,9.246,8.738,6.733,4.738,3.286
1959,0.923,1.137,-1.59,0.036,3.019,5.693,8.142,9.228,8.582,6.874,4.999,2.985
1960,0.503,-1.053,-1.902,-1.029,3.137,5.401,7.906,8.88,8.098,6.134,4.233,2.623
1961,0.606,-2.094,-6.097,-0.008,2.974,5.215,7.542,8.873,8.178,6.355,4.419,3.377
1962,1.644,1.273,-0.066,1.141,2.939,5.221,7.809,9.13,8.409,6.339,4.386,2.324
1963,2.198,-0.821,-0.955,-1.129,2.669,5.197,7.651,9.157,8.625,6.653,4.45,2.341
1964,0.461,-4.133,-6.299,-0.051,2.844,5.184,7.111,8.224,7.653,5.887,4.096,2.551
1965,-0.393,-5.497,-0.389,1.119,2.762,4.75,6.924,8.57,8.132,6.169,4.486,2.781
1966,1.577,1.277,-1.304,0.769,2.76,5.153,7.649,8.882,8.229,6.563,4.789,3.553
1967,1.128,-0.071,1.519,2.253,3.641,5.834,8.281,9.715,8.691,6.647,4.573,2.501
1968,1.977,-2.632,-0.855,1.392,2.796,5.549,7.981,9.136,8.409,6.486,4.514,3.394
1969,2.106,0.052,-1.529,1.201,3.16,5.516,8.126,9.418,8.673,6.869,4.836,2.916
1970,0.422,-0.003,-1.455,0.462,2.711,5.05,7.124,8.389,8.151,6.803,5.101,3.767
1971,1.581,-5.662,-6.662,-3.477,1.384,4.303,6.453,7.878,7.263,5.742,3.961,2.972
1972,1.555,0.87,-4.991,-1.546,1.852,4.579,6.971,8.41,7.793,6.015,4.348,3.333
1973,0.574,-1.243,-5.034,-0.724,1.777,4.227,7.098,8.445,7.879,6.32,4.605,3.264
1974,1.43,-6.09,-2.613,-0.051,2.896,5.255,7.732,9.062,8.573,6.51,4.344,1.541
1975,-0.808,-5.521,-4.804,-1.624,1.859,4.668,7.063,8.297,7.804,5.992,3.986,1.824
1976,-4.695,-8.44,-6.062,-4.798,1.191,4.549,6.983,8.108,7.575,6.168,4.374,2.171
1977,0.658,-0.152,-1.947,0.021,2.974,5.744,8.289,9.876,9.352,6.852,4.449,2.726
1978,2.611,0.824,-0.021,2.468,3.526,5.566,7.701,9.028,8.556,6.835,4.959,3.909
1979,3.173,1.853,1.229,2.319,3.472,5.826,8.225,9.643,9.184,7.102,5.195,3.672
1980,0.181,-2.261,-0.001,1.642,3.278,5.401,7.789,9.186,8.462,6.54,4.774,2.854
1981,1.264,-0.915,0.791,2.583,3.874,6.155,8.401,9.638,9.036,7.112,5.007,3.18
1982,1.404,0.914,0.632,0.881,1.96,4.13,6.898,8.209,7.676,5.791,4.123,2.757
1983,-0.84,-1.136,-1.112,0.371,2.642,5.996,8.951,9.302,9.141,6.879,4.735,4.321
1984,2.976,-6.195,-2.006,-0.164,1.621,5.035,7.584,9.486,9.069,7.134,5.235,3.761
1985,3.302,1.315,-0.299,-2.626,1.557,3.716,6.918,8.603,8.365,6.567,4.491,3.868
1986,2.403,-0.218,-3.926,-0.298,1.657,4.214,7.314,8.684,8.524,7.072,5.487,3.907
1987,1.187,0.039,0.661,1.499,2.526,4.448,8.05,9.699,9.622,6.724,5.099,2.444
1988,1.818,-0.156,-4.196,-1.456,1.946,4.572,7.899,9.368,8.679,7.129,4.255,0.907
1989,-1.822,1.108,0.785,1.23,2.544,4.829,7.561,9.47,9.053,6.796,4.327,2.053
1990,0.075,-2.797,-1.605,0.753,2.049,5.419,7.99,8.816,8.42,6.394,4.632,2.508
1991,-0.069,-4.999,-1.363,-0.014,2.046,4.558,8.163,9.342,9.42,7.282,5.558,2.359
1992,0.401,-2.052,-4.602,-0.682,1.767,4.62,6.775,8.632,8.152,5.987,3.818,1.413
1993,-0.718,-0.701,-1.152,1.36,2.9,5.746,7.96,10.074,9.066,6.79,5.719,3.926
1994,1.259,1.09,-3.811,-0.507,1.569,3.911,7.389,8.643,8.484,6.145,3.884,1.561
1995,-0.813,-2.522,-3.153,-1.417,1.743,4.803,7.677,9.544,9.712,7.361,4.724,2.525
1996,1.895,0.256,1.278,1.469,2.881,5.664,7.756,8.958,8.998,7.076,5.157,3.344
1997,0.766,-0.781,-1.509,0.443,1.908,5.875,8.393,10.34,9.512,7.513,5.218,2.757
1998,-0.558,-3.034,0.452,1.15,1.725,4.306,7.906,9.215,7.586,6.359,5.038,3.056
1999,1.035,-0.687,-1.139,-0.293,1.282,3.646,6.832,7.606,8.041,6.649,3.564,0.161
2000,-3.881,0.084,0.39,0.715,2.071,4.679,7.969,9.324,8.303,6.669,5.129,3.853
2001,2.813,2.664,2.051,1.699,2.377,4.861,7.19,8.826,8.405,6.767,4.189,1.263
2002,-2.43,-4.719,0.317,1.124,2.638,5.057,8.209,10.133,9.646,7.636,5.431,4.349
2003,2.377,-0.161,1.081,1.942,3.459,5.89,8.511,10.278,10.34,7.922,5.585,3.443
2004,1.266,-0.332,-0.116,0.493,3.083,5.553,9.365,10.865,10.649,7.728,4.761,3.253
2005,2.617,1.688,1.614,0.927,2.821,5.59,9.24,10.615,9.153,7.57,4.758,2.155
2006,-3.592,-1.416,0.41,0.276,1.254,4.56,7.791,9.1,8.718,7.22,4.503,2.52
2007,-1.386,0.686,-4.554,-0.097,1.172,4.169,7.882,10.123,9.23,6.616,3.884,2.386
2008,-0.499,-5.575,-6.779,-1.463,0.822,3.147,6.613,9.075,8.981,6.743,3.501,1.61
2009,-4.492,-2.423,-2.569,-1.141,1.457,3.459,6.521,8.792,8.26,6.933,4.611,2.315
2010,-1.161,-4.884,-8.053,-2.154,0.825,3.241,6.714,8.686,8.897,6.814,4.302,2.224
2011,-0.485,-0.83,-1.599,-0.908,1.211,3.717,6.244,8.226,8.064,6.765,4.393,2.125
2012,-4.407,-4.591,-7.376,-2.635,-0.054,2.127,6.518,8.451,7.87,5.896,3.425,0.797
2013,-0.458,-6.196,-4.029,-1.658,0.938,3.76,7.093,10.097,9.052,7.086,5.347,3.005
2014,2.226,0.241,-1.225,1.049,2.992,5.864,9.228,11.573,11.391,8.18,5.377,4.568
2015,3.114,1.041,-0.022,0.394,2.537,5.507,8.416,10.596,10.061,8.057,5.592,3.586
2016,2.792,2.317,1.09,1.51,3.731,7.178,10.457,11.79,11.211,8.934,6.591,3.762
2017,2.501,0.002,-1.165,0.679,2.897,6.145,8.267,10.161,9.339,7.523,5.773,3.569
2018,2.204,1.893,2.293,2.566,3.706,6.043,8.563,9.854,10.132,9.051,6.66,3.865
2019,0.841,1.713,2.572,2.921,4.047,7.127,9.867,11.705,11.103,8.775,6.253,3.681
2020,-0.047,-2.216,-1.231,1.051,2.856,6.081,7.94,10.282,9.634,7.266,5.19,2.94
2021,0.808,0.38,0.55,1.409,2.715,5.299,7.792,9.864,10.027,6.726,3.835,2.108
2022,-1.963,-2.305,-1.479,0.175,2.409,5.515,7.622,9.03,8.733,6.731,4.605,2.958
2023,-0.021,-0.723,0.013,0.132,1.9,4.463,7.329,9.174,8.866,7.105,5.197,-999.999